date,gross sales,output vat,net sales
01/26/2023,25410,3455,21605
01/27/2023,61838,8431,52713
01/28/2023,141313,19025,119299
01/29/2023,54860,7429,46429
01/31/2023,122614,16530,103850
02/01/2023,121098,16097,100607
02/02/2023,71812,9721,60889
02/03/2023,78469,10626,66510
02/04/2023,114261,15246,95686
02/05/2023,90995,12365,77282
02/06/2023,104050,14210,89358
02/07/2023,37690,5141,32160
02/08/2023,68851,9353,58508
02/09/2023,90356,12214,76390
02/10/2023,93294,12620,79254
02/11/2023,166009,22548,140993
02/12/2023,53391,7254,45516
02/13/2023,107570,14480,91031
02/14/2023,97606,13266,83051
02/15/2023,71537,9722,60766
02/16/2023,42144,5730,35812
02/17/2023,103940,14143,88430
02/18/2023,126867,17152,107513
02/19/2023,91240,11540,72124
02/20/2023,38360,5168,32302
02/21/2023,47709,6422,40137
02/22/2023,132763,17909,111931
02/23/2023,68579,9290,58143
02/24/2023,159565,21695,135591
02/25/2023,144863,19407,121571
02/26/2023,98780,13287,83373
02/27/2023,73849,10006,62635
02/28/2023,49349,6605,41347
03/01/2023,56449,7514,47085
03/02/2023,79098,10688,66902
03/03/2023,230208,31083,194735
03/05/2023,72839,9539,61327
03/06/2023,71259,9614,60635
03/07/2023,63960,8682,54329
03/08/2023,82180,11205,70044
03/09/2023,112894,15346,95910
03/10/2023,73250,9779,61169
03/11/2023,168450,22810,142620
03/12/2023,58850,7961,49789
03/13/2023,73290,9797,61247
03/14/2023,94184,12488,78248
03/15/2023,128600,17305,108158
03/16/2023,146902,19690,123410
03/17/2023,128820,17521,109654
03/18/2023,137460,18611,116576
03/19/2023,63870,8516,54073
03/20/2023,57320,7705,48156
